RunID,User,Problem,Result,Memory,Time,Code Length,Submit Time
6759,65f94df2c54451d14fdf4fe3d5d8eeb6,D,Accepted,8276,276,2557 B,2018/5/17 16:54
6758,3c619469aaa4b269bdde8f007b88a3c6,A,Accepted,7436,268,981 B,2018/5/17 16:53
6757,aba1cd3b671be1918ce8923ddfa6c1b9,G,Time Limit Exceed,17204,4000,976 B,2018/5/17 16:53
6756,d741a01876b3dd97120568deeec99ccf,D,Accepted,7884,276,1511 B,2018/5/17 16:52
6755,aba1cd3b671be1918ce8923ddfa6c1b9,G,Time Limit Exceed,17164,4000,977 B,2018/5/17 16:44
6754,3dc3749735c46aa2ae316d63875b2d28,C,Accepted,8328,1540,657 B,2018/5/17 16:35
6753,e5499e6685e517b0c726f0a7b8d8776f,A,Accepted,7704,280,1313 B,2018/5/17 16:33
6752,7e053c643000b70864bce4f67e61b4b9,G,Accepted,10500,3072,2619 B,2018/5/17 16:26
6751,aba1cd3b671be1918ce8923ddfa6c1b9,G,Time Limit Exceed,8304,4000,734 B,2018/5/17 16:12
6750,9b307c918011d9bd353a84bd3946c692,G,Compile Error,0,0,42 B,2018/5/17 16:05
6749,8e21dfee8596cce54d231e84a3b7f173,C,Accepted,8584,1528,2320 B,2018/5/17 15:59
6748,9b307c918011d9bd353a84bd3946c692,A,Runtime Error,7808,188,1434 B,2018/5/17 15:57
6747,9b307c918011d9bd353a84bd3946c692,A,*Accepted5669(100%),8268,284,1401 B,2018/5/17 15:54
6746,9b307c918011d9bd353a84bd3946c692,A,Compile Error,0,0,1410 B,2018/5/17 15:53
6745,9b307c918011d9bd353a84bd3946c692,A,Runtime Error,7360,132,565 B,2018/5/17 15:50
6744,9b307c918011d9bd353a84bd3946c692,A,Compile Error,0,0,1446 B,2018/5/17 15:46
6743,9b307c918011d9bd353a84bd3946c692,B,Accepted,16264,2100,565 B,2018/5/17 15:42
6742,8e21dfee8596cce54d231e84a3b7f173,C,Runtime Error,8272,560,2257 B,2018/5/17 15:41
6741,b7985f3352b1cc58833876858fe14d93,F,Wrong Answer,9772,184,3073 B,2018/5/17 15:36
6740,8e21dfee8596cce54d231e84a3b7f173,C,Runtime Error,8264,588,2254 B,2018/5/17 15:36
6739,8e21dfee8596cce54d231e84a3b7f173,C,Runtime Error,8244,568,2252 B,2018/5/17 15:31
6738,aba1cd3b671be1918ce8923ddfa6c1b9,D,*Accepted6194(99%),7912,272,3117 B,2018/5/17 15:21
6737,a313006bf93b0ed42436626faa27d724,D,Accepted,8276,272,724 B,2018/5/17 15:21
6736,57770db7f903e6f55d219ca9db583756,C,Accepted,8284,1540,499 B,2018/5/17 15:21
